#Activity: PAX_Model_Final::PAX::DetailedDesign::SRC::DAL_C::PAX::IFE Package::PAX_IFEctrl::PAX_setIFE
PATHSEARCH_MAX_PATHLENGTH	PATHSEARCH_MAX_NO_PATHS	PATHSEARCH_SOLVER	PATHSEARCH_UNCHECKED_STEPS	PathsFound	time(ns)	PATHSEARCH_TOTAL_SOLVER_RUNS	PATHSEARCH_INFEASIBLE_PATHS_ELIMINATED
50	-1	cplex	1	248	23682145078	1376	932
50	-1	cplex	2	248	13597139301	1221	1492
50	-1	cplex	3	248	16410381208	2004	3620
50	-1	cplex	4	248	15859730497	1448	3820
50	-1	cplex	5	248	16873274956	1060	4448
50	-1	cplex	6	248	16603277232	620	4324
50	-1	cplex	7	248	14717297589	360	4404
50	-1	cplex	8	248	15203400991	228	4388
50	-1	cplex	9	248	15603983188	132	4388
50	-1	cplex	10	248	15049850190	96	4368
50	-1	cplex	11	248	14317866098	48	4336
50	-1	cplex	12	248	14658413290	24	4320
50	-1	cplex	13	248	15414092294	20	4316
50	-1	cplex	14	248	15402681347	20	4320
50	-1	cplex	15	248	15376661559	4	4316
