PATHSEARCH_MAX_PATHLENGTH	PATHSEARCH_MAX_NO_PATHS	PATHSEARCH_SOLVER	PATHSEARCH_UNCHECKED_STEPS	PathsFound	time(ns)	PATHSEARCH_TOTAL_SOLVER_RUNS	PATHSEARCH_INFEASIBLE_PATHS_ELIMINATED
0	-1	gecode	2	0	567422161	0	0
10	-1	gecode	2	4	181792149	10	4
20	-1	gecode	2	10	378826053	73	57
30	-1	gecode	2	17	577698580	410	382
40	-1	gecode	2	25	1496734714	2121	2079
50	-1	gecode	2	33	5107072158	10706	10650
60	-1	gecode	2	41	24800113792	53661	53591
70	-1	gecode	2	49	224711897832	421901	421813
80	-1	gecode	2	57	1206026127406	2109706	2109604
90	-1	gecode	2	73	52149094845852	33564381	33564255
