#Activity: PAX_Model_Final::PAX::DetailedDesign::SRC::DAL_C::PAX::IFE Package::PAX_IFEctrl::PAX_setIFE
#Optimisation Enabled
#PATHSEARCH_MAX_PATHLENGTH	PATHSEARCH_MAX_NO_PATHS	PATHSEARCH_SOLVER	PATHSEARCH_UNCHECKED_STEPS	PathsFound	time(ns)	PATHSEARCH_TOTAL_SOLVER_RUNS	PATHSEARCH_INFEASIBLE_PATHS_ELIMINATED
#10	-1	lpsolve	2	0	1878612505	0	0
#20	-1	lpsolve	2	4	649040590	1	0
#30	-1	lpsolve	2	56	2231655700	21	52
#40	-1	lpsolve	2	104	4615153043	225	280
#50	-1	lpsolve	2	248	12318311406	1221	1492
#60	-1	lpsolve	2	536	38373303031	5985	7516
#70	-1	lpsolve	2	1568	167869177786	27573	35044
#Activity: PAX_Model_Final::PAX::DetailedDesign::SRC::DAL_C::PAX::IFE Package::PAX_IFEctrl::PAX_setIFE
#Optimization Minimize.
PATHSEARCH_MAX_PATHLENGTH	PATHSEARCH_MAX_NO_PATHS	PATHSEARCH_SOLVER	PATHSEARCH_UNCHECKED_STEPS	PathsFound	time(ns)	PATHSEARCH_TOTAL_SOLVER_RUNS	PATHSEARCH_INFEASIBLE_PATHS_ELIMINATED
10	-1	lpsolve	2	0	974021559	0	0
20	-1	lpsolve	2	4	352511562	1	0
30	-1	lpsolve	2	56	1624034061	21	52
40	-1	lpsolve	2	104	3582458664	225	280
50	-1	lpsolve	2	248	9855243893	1221	1492
60	-1	lpsolve	2	536	33612219988	5985	7516
70	-1	lpsolve	2	1568	125195020876	27573	35044
80	-1	lpsolve	2	4208	471117880625	120069	154348
90	-1	lpsolve	2	10736	2111592544583	512145	662404
100	-1	lpsolve	2	31491	8478388205763	2151520	2792255
