#Activity: PAX_Model_Final::PAX::DetailedDesign::SRC::DAL_C::PAX::IFE Package::PAX_IFEctrl::PAX_setIFE
PATHSEARCH_MAX_PATHLENGTH	PATHSEARCH_MAX_NO_PATHS	PATHSEARCH_SOLVER	PATHSEARCH_UNCHECKED_STEPS	PathsFound	time(ns)	PATHSEARCH_TOTAL_SOLVER_RUNS	PATHSEARCH_INFEASIBLE_PATHS_ELIMINATED
10	-1	gecode	2	0	1754160375	0	0
20	-1	gecode	2	4	826575445	1	0
30	-1	gecode	2	56	2133777337	21	52
40	-1	gecode	2	104	4612341234	225	280
50	-1	gecode	2	248	10755535969	1221	1492
60	-1	gecode	2	536	33145861276	5985	7516
70	-1	gecode	2	1568	134269092301	27573	35044
80	-1	gecode	2	4208	438248720717	120069	154348
90	-1	gecode	2	10736	2123331085376	512145	662404
100	-1	gecode	2	31495	7637680395693	2151537	2792273
