#Activity: PAX_Model_Final::PAX::DetailedDesign::SRC::DAL_C::PAX::IFE Package::PAX_IFEctrl::PAX_setIFE
PATHSEARCH_MAX_PATHLENGTH	PATHSEARCH_MAX_NO_PATHS	PATHSEARCH_SOLVER	PATHSEARCH_UNCHECKED_STEPS	PathsFound	time(ns)	PATHSEARCH_TOTAL_SOLVER_RUNS	PATHSEARCH_INFEASIBLE_PATHS_ELIMINATED
40	-1	cplex	1	104	11588573687	308	200
40	-1	cplex	2	104	5125687204	225	280
40	-1	cplex	3	104	4599762540	232	396
40	-1	cplex	4	104	4425751597	164	388
40	-1	cplex	5	104	3693955517	64	368
40	-1	cplex	6	104	3859348883	32	344
40	-1	cplex	7	104	4904422489	24	336
40	-1	cplex	8	104	4156297798	20	340
40	-1	cplex	9	104	3735228639	20	340
40	-1	cplex	10	104	3973539095	4	340
40	-1	cplex	11	104	3521805146	0	336
40	-1	cplex	12	104	3202965181	0	336
40	-1	cplex	13	104	3404724064	0	336
40	-1	cplex	14	104	3513549627	0	336
40	-1	cplex	15	104	3306173550	0	336
