#Activity: PAX_Model_Final::PAX::DetailedDesign::SRC::DAL_C::PAX::IFE Package::PAX_IFEctrl::PAX_setIFE
#performed on Desktop pc
PATHSEARCH_MAX_PATHLENGTH	PATHSEARCH_MAX_NO_PATHS	PATHSEARCH_SOLVER	PATHSEARCH_UNCHECKED_STEPS	PathsFound	time(ns)	PATHSEARCH_TOTAL_SOLVER_RUNS	PATHSEARCH_INFEASIBLE_PATHS_ELIMINATED
40	-1	cplex	0	104	12666188950	769	152
40	-1	cplex	1	104	5249142636	448	200
40	-1	cplex	2	104	3880947619	440	275
40	-1	cplex	3	104	3587092035	425	285
40	-1	cplex	4	104	3514766655	499	359
40	-1	cplex	5	104	3000461447	449	333
40	-1	cplex	6	104	2975748419	448	332
40	-1	cplex	7	104	3080128345	451	335
40	-1	cplex	8	104	2959029487	450	334
40	-1	cplex	9	104	3018616600	455	339
