PATHSEARCH_MAX_PATHLENGTH	PATHSEARCH_MAX_NO_PATHS	PATHSEARCH_SOLVER	PATHSEARCH_UNCHECKED_STEPS	PathsFound	time(ns);
80	5000	cplex	0	4208	5117303743073
80	5000	cplex	1	4208	1635652313632
80	5000	cplex	2	4208	551358420135
80	5000	cplex	3	934	1697925105006
80	5000	cplex	4	0	9190371961
80	5000	cplex	5	0	453029645
80	5000	cplex	6	0	468073736
80	5000	cplex	7	0	1317978961
80	5000	cplex	8	0	236549338
80	5000	cplex	9	0	923590009
80	5000	cplex	10	0	1085696646
80	5000	cplex	11	0	170548492
80	5000	cplex	12	0	1648940857
80	5000	cplex	13	0	160260871
80	5000	cplex	14	0	512073182
80	5000	cplex	15	0	493450704
80	5000	cplex	16	0	157207411
80	5000	cplex	17	0	1489858627
80	5000	cplex	18	0	155800807
80	5000	cplex	19	0	152624985
