#Activity: cppTestModels::triangleClassificator::TriangleClassificator::classifyNoLogic
PATHSEARCH_MAX_PATHLENGTH	PATHSEARCH_MAX_NO_PATHS	PATHSEARCH_SOLVER	PATHSEARCH_UNCHECKED_STEPS	PathsFound	time(ns)	PATHSEARCH_TOTAL_SOLVER_RUNS	PATHSEARCH_INFEASIBLE_PATHS_ELIMINATED
40	20	couenne	0	21	942060717	32	2
40	20	couenne	1	21	680698943	24	2
40	20	couenne	2	21	671388424	24	2
40	20	couenne	3	21	794896570	23	2
40	20	couenne	4	21	751077848	23	2
40	20	couenne	5	21	802376999	23	2
40	20	couenne	6	21	642054437	23	2
40	20	couenne	7	21	638957074	23	2
40	20	couenne	8	21	641834635	23	2
40	20	couenne	9	21	641017546	23	2
