#Activity: cppTestModels::triangleClassificator::TriangleClassificator::classifyNoLogicPATHSEARCH_MAX_PATHLENGTH	PATHSEARCH_MAX_NO_PATHS	PATHSEARCH_SOLVER	PATHSEARCH_UNCHECKED_STEPS	PathsFound	time(ns)	PATHSEARCH_TOTAL_SOLVER_RUNS	PATHSEARCH_INFEASIBLE_PATHS_ELIMINATED
0	-1	lpsolve	2	0	63473237	0	0
10	-1	lpsolve	2	6	150654696	7	0
20	-1	lpsolve	2	19	298235237	24	4
30	-1	lpsolve	2	19	319426318	24	4
40	-1	lpsolve	2	19	460339423	24	4
50	-1	lpsolve	2	19	281450774	24	4
60	-1	lpsolve	2	19	406257936	24	4
70	-1	lpsolve	2	19	286273445	24	4
80	-1	lpsolve	2	19	347287564	24	4
90	-1	lpsolve	2	19	276894323	24	4
