#Activity: cppTestModels::triangleClassificator::TriangleClassificator::classifyNoLogic
PATHSEARCH_MAX_PATHLENGTH	PATHSEARCH_MAX_NO_PATHS	PATHSEARCH_SOLVER	PATHSEARCH_UNCHECKED_STEPS	PathsFound	time(ns)	PATHSEARCH_TOTAL_SOLVER_RUNS	PATHSEARCH_INFEASIBLE_PATHS_ELIMINATED
-1	-1	gurobi	2	19	472275960	24	4
-1	-1	gurobi	2	19	408488378	24	4
-1	-1	gurobi	2	19	386495226	24	4
-1	-1	gurobi	2	19	447086124	24	4
-1	-1	gurobi	2	19	362323510	24	4
-1	-1	gurobi	2	19	345005243	24	4
-1	-1	gurobi	2	19	353356005	24	4
-1	-1	gurobi	2	19	360049039	24	4
-1	-1	gurobi	2	19	364969323	24	4
-1	-1	gurobi	2	19	392094029	24	4
