#Activity: cppTestModels::triangleClassificator::TriangleClassificator::classifyNoLogic
PATHSEARCH_MAX_PATHLENGTH	PATHSEARCH_MAX_NO_PATHS	PATHSEARCH_SOLVER	PATHSEARCH_UNCHECKED_STEPS	PathsFound	time(ns)	PATHSEARCH_TOTAL_SOLVER_RUNS	PATHSEARCH_INFEASIBLE_PATHS_ELIMINATED
-1	-1	minos	2	19	805745702	24	4
-1	-1	minos	2	19	343234541	24	4
-1	-1	minos	2	19	308821562	24	4
-1	-1	minos	2	19	305888026	24	4
-1	-1	minos	2	19	321247874	24	4
-1	-1	minos	2	19	318766912	24	4
-1	-1	minos	2	19	319938961	24	4
-1	-1	minos	2	19	340078132	24	4
-1	-1	minos	2	19	299376227	24	4
-1	-1	minos	2	19	302942545	24	4
